Data;Label Sentimen;
rizaldyf9678,Mending emas digital ,;Positif;
spread apaan dah,;Negatif;
@ranyahrafifahchannel7386,tolong dong rekomendasikan Platform emas digital yg berlisensi / legal yg mana?,;Netral;
@karatmerah8576,Kak kalau untuk pelajar mau mencoba nabung emas harian di Pegadaian kecil kecil an minimal nabung berapa kak,;Netral;
@atikreog6411,Makasih ko infonya....klu aku yang uang dikit pilih mas fisik ajadeh🙏🙏😂😂,;Netral;
@lailamuthoharoh4147,Saya pilih emas digital...<br>Sudah mulai menabung emas digital sejak th 2016<br>Terimakasih infonya kak,;Positif;
"@adfrach4436,""Kapan waktu yang tepat kita beli atau jual emas? <br>Contoh :saya punya emas 1 gr dengan harga beli di tahun 2015 seharga 600rb, eh tau tau tahun 2021 harga naik jadi 1 juta ,apakah saya harus jual di tahun 2021,atau nunggu makin naik lagi?"",";Netral;
@ragilgalangmahardika7066,permisi ko saya mau tanya nih tolong bantu jawab ya<br>apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak? <br>terimakasih,;Netral;
@mbokdelas,Trimakasih infonya,;Netral;
@warsito7019,Suka emas yg fisik,;Positif;
"@saririzkika9953,""Krn gak punya brankas,pilih emas digital aja.."",";Netral;
"@mr.m4107,""Platform emas digital apakah aman dari ancaman hacking, scamming dll? Dan setau saya biarpun emas digital itu bisa dicetak fisik kan ya"",";Netral;
"@permatagroups,""Emas yg ada di Pegadaian Digital itu emas apa kak, Antam atau UBS ?"",";Netral;
@annasiregar7120,Mantap..thanks ilmu nya pak,;Positif;
@nadinezahra1895,Aplikasi emas digital terpercaya apa ya ?,;Netral;
"@annesangellijelita1464,""Masi mnding beli mas lngsung fisik,ktk kt  beli udah ad ditngan kita,bda hlnya m mas digital memliki tp g tau bntuk brangnya.Wlwpun hrgnya lbih murah resiko kdpan nasib perusahaan yg didirikan teknologi manusia g slmanya hidup."",";Negatif;
"@awalalpalma559,""Bang bisa kali ada saran saya punya uang 1.5jt perbulan nganggur , Rencana mau Invenst tapi masih bingung mo Ngambil apa aja, soalnya buat nabung dalam jangka 3 Tahun depan, Btw udah ada plain emas saham dan rds, cmn lgi nyari&quot Referensi ni"",";Netral;
"diaryminivlogandrea5205,""tiap bulan beli 0.5 gram perbulan utk invest menguntungkan dimasa akan datang kak "",";Positif;
"@CeritaMovie21,""Klo emas di pluang mau tarik fisik, itu emasnya asli kan ka?"",";Netral;
@imoditri9195,Misal beli emas 10gram mending ke toko emas atau ke pegadaian bang baiknya? mohon pencerahannya bang 🙏,;Netral;
@ohmelan2023,Saya berani nabung di pegadaian krn dr saya bocil ni perusahaan udah ada. Mari kita doakan biar pegadaian tidak pernah bangkrut. Nnti deh kalo udh 5gram saya cetak aja dah,;Positif;
"@stevenchristy1214,""Saya sesuai kek kamu bang, nabung dulu emas, baru udh banyak gramnya saya cetak 🤣"",";Positif;
@ababilcreative149,haloo kak... apakah boleh beli emas 10gram terus saya cetak ke 1gram dan bila di jual harga tetap 1 gram logam mul ia atau ada pengurangan.mksh sebelumnya.,;Netral;
@lidyanikita7672,Ka udah berapa lama main di tabungan digital pegadaian?,;Netral;
@abelkluwutl,Lebih suka emas fisik,;Netral;
@okong225,Kak mau tanya kalo kita nabung emas di Pegadaian.. terus Setiap saya Nabung langsung ke Tempat nya Apakah. Di buku tabungan kita jumlah ny naik.. apa Gimana kak setiap kita Nabung,;Netral;
"@hanabik4388,""Mau sarannya kak, saya masih pemula. Modal cukup untuk 0.5gr tapi saya ingin dalam bentuk fisik. Saran kka saya lebih baik tarik fisik atau digital kak? Makasih"",";Netral;
"@tehyaniaja,""Tapi kalau di shopee tabungan emas nya kalu dijual gk makn wakti lama kok , langsung cuma butuh bbrapa menit j lngsung cair ke no rek kita yg sdh terdaftar.krn sy sering 🤭 beli lalu jual lagi😁"",";Positif;
"@kamshorymt,""Emas digital bisa dijual kapan saja. Tapi kalau uang cair nunggu 3 hari kerja ya mendingan emas fisik. Butuh uang malam ini, tokonya tutup, bisa bangunin tetangga, pinjam uang dan jaminkan emasnya."",";Negatif;
@SriWahyuni-yp1tx,kalo mau tarik uang di pegadaian kena admin tidak? kalo transfer kan kena,;Netral;
"@rahmakila3516,""pak mau tanya, untung nabung emas pakai antam jika ad budget 5jtaan lbih baik lgsg beli yg 5gram dalam satu keping, atw beli 5pc keping  yg per1gr? mana yg lbh menguntungkan pak jika ingin nnti suatu saat di jual lg?"",";Netral;
"@disinee_tresna,""Kalau cetak emas digital ke emas fisik, ada biaya nggak dong ya."",";Netral;
"@lucyrahardian5663,""Kak boleh minta saran, <br>setiap bulan saya bisa menyisihkan uang untuk membeli 1 gram lm  <br>tetapi di sisi lain saya ingin membeli 5 gram <br>Tapi saya tidak mampu untuk membeli 5 gram secara Igsung, sedangkan saya tidak mau  tukar lm 1 gram saya ke 5 gram kara menurut saya rugi <br>, menurt kakak <br>, saya coba digital saja agar suatu saat saya dapat memiliki 5 gram++ Im <br>atau bertahan membeli lm 1 grm tiap bulannya ?"",";Netral;
@ilhamnuralamsyah9586,Kalau pendapat saya masih mending emas digital. Soalnya efisien trus kita bisa cek apakah emas itu turun atau naik kalau naik ya tinggal jual.. transaksi gampang dan bisa kapan aja,;Positif;
"@wahdahhamdie,""Makasih banyak ya,,,, bagus banget edukasinya 🙏"",";Positif;
@alenghasan5713,Bro kalau warna putih kodenya 925 itu emas atau perak ya.,;Netral;
"@lestanika7787,""Jadi bagus mana ko? Yang digital atau fisik,, bingung saya"",";Netral;
"@fansnyamasyun4156,""<a href=""""https://www.youtube.com/watch?v=7eVsrk3CjvI&amp t=361"""">6:01</a> tapi kalau di pluang aman kan?"",";Netral;
"@reivaj110,""Ko pegadaian kan rasanya aman ya bumn, koko td blg kalau misal pas tabungan digital itu udah banyak grammnya, trus mending dicetak ke emas fisik, alasannya knp ko? Biar mantep aja rasanya karena kita ud pegang lngsg emasnya atau karena faktor keamanan atau karena mungkin bisa lbh profit ko? Tolong dijawab ya ko 🙏"",";Netral;
@nromy2006,knp gak dibahas keamanan vs biaya sewa?,;Netral;
@hajenglaksita6215,Pegadaian cepet kok cairnya. Gak nunggu 1 sampe 2 hari.,;Positif;
@heruprasetyo24,Saya Menabung Emas Di Aplikasih Pegadaian Digital,;Netral;
@adiputrapandypta6055,Bukannya emas digital yang kita beli dijamin oleh KBI ya? Harusnya aman donk?,;Netral;
@Elite1Show,Klo pegadaian gimana bang aman kah  ?,;Netral;
@sutipah6933,q ya  tetep  emas  fisik,;Netral;
@juliahafidzah6866,Jd mau coba u emas digital. Terima kasih byk,;Netral;
@ishanifarek7607,Apk apa bt cek mas asli apa palsu,;Netral;
@rizkisulistya3124,Kak kalo kita nabung emas digital di pegadaian apakah aturan di semua cabang pegadaian sama dan semuanya dapat dipercaya ?,;Netral;
@mirnawatimustafa5623,Kalo misalnya nabung dipegadaian apa bisa ditukar dengan uang pada saat di tarik?,;Netral;
"@gilang1533,""Pak, maaf tanya terkait emas. Bener atau salah ya pemikiran saya, kalo kita ikut nabung emas di pegadaian misalnya dgn nominal awal 1jt, sedangkan harga emas per gram saat itu 900rbuan, artinya secara itungan kita sudah dapat emas 1gram&#39 an kan ya (posisi emas belum kita cetak). <br><br>Lalu beberapa minggu kemudian harga emas naik menjadi 1,2jt per gram, artinya pada posisi itu, uang 1jt yg kita taro di awal sudah tidak bisa dapat emas 1gram lg yaa. Artinnya kita melewati kesempatan untung yaa ? Beda cerita kalo sblon y kita cetak dlu saat emas di harga 900rban, lalu kita buyback.<br><br>Jadi apakah baiknya tiap beli emas itu sudah dalam berbentuk fisik ? Agar terlihat margin loss / profit nya.<br><br>Terimakasih"",";Positif;
"@doninurohman908,""Kak, sudah ada review emas hartadinata belum ya ?<br>klo blm ada video revienya, boleh kak dibuatin 😁.<br>Bagus gak ya klo kita beli LM merek hartadinata ? Karna masih asing di telinga orang2 seperti saya."",";Netral;
"@RahmadSetiaBudi,""menurut om, apakah apps digital seperti ini bakalan tetap exist kedepan? dan kalau ada 2 pilihan invest, pilih digital currency atau emas?"",";Netral;
"@sitihawaihda2933,""Pak, misal saya beli emas di Antam lalu misal mo dijual lagi tapi di toko emas terdekat. Apakah harga buy backnya sesuai pada saat nanti atau dibawah harga buy back? Krn setau saya toko emas biasanya akan ngasih harga dibawah pasaran klo kita bukan beli emas ke dia (dulunya)<br>*Semoga dijawab 🙏🙂"",";Netral;
@muhammadhusni878,Emas digital untuk tabungan begitu gramasi nya cukup tarik fisik nya.,;Netral;
"@raja28razak44,""Terima kasih prnjelasanua, karena saya mau menabung jadi saya memilih beli emas digital"",";Netral;
"@namchohee8,""bisa cobain treasury jugaa, beli emasnya mulai dr 5000an :D"",";Netral;
@ungurezkhy32,kk bagusan mana nabung di brankas lm atau tabungan pegdaian.mohon jawabanx..,;Netral;
"@alwinafisah5441,""<a href=""""https://www.youtube.com/watch?v=7eVsrk3CjvI&amp t=60"""">1:00</a> itu point pentingnya. Masak qta beli emas. Tp g pegang emasnya. Fell nya g dapet gitu<br>I like this statemen<br>Klo kamu????"",";Netral;
@yenikusrini5139,Kak kalo utk investasi 5 thn kedepan apakah cukup menguntungkan?,;Netral;
@alifkhankhan2612,Sangat membantu pak informasi&quot nya ..<br>Terima kasih pak..,;Netral;
"@RuangBelajar2024,""Sya itung2 kalo beli emas digital + biaya cetak ko lebih murah ya dibanding beli emas fisik. Contoh di waktu yg sama beli digital 1 gram di pegadaian &amp langsung request cetak, sama kita langsung beli ke pegadaian fisik 1 gram. Bener ga sih om?"",";Netral;
@fajrikoto6452,sekarang udah 3 juta 😂,;Netral;
"@masudsubchan821,""Contoh nya jika sudah terkumpul banyak tabungan emas digital nya,,ternyata emas nya tidak ada ,,meskipun sudah di jamin bapepti ,,,lalu bagaimana ,,,"",";Netral;
"@masudsubchan821,""Jika tidak lepas uang pegang emas,,,arti nya ada unsur keraguan ,,dan itu pasti haram"",";Negatif;
"@masudsubchan821,""Jika halal bilang halal ,,jika haram bilang haram ,,jadi jelas ,,jangan di pelintir sana sini,,,"",";Netral;
"@masudsubchan821,""Beli emas bersamaan dengan uang nya ,,lepas uang pegang emas,,di satu tempat di satu waktu ,,jika tidak maka akan menjadi riba ,,,,,"",";Negatif;
@lusisihite3852,Saya beli emas pakai metode pembayaran tunai…tapi di simpan di namanya brankas di antam…kapanpun bisa di ambil…apakah juga riba?,;Netral;
@merdinata.bagasprayogo3905,Klo beli emas d logam mulia d antam secara tunai tp barabgny d terima tdk secara langsung dikarenakan proses pengiriman ekspedisi it bagaimana hukumny,;Netral;
@ekoprayitno6942,Emas harus ada fisiknya,;Netral;
@sammian9379,Alhamdulillah infonya semoga berkah manfaat Aamiin 🤲🤲🤲,;Positif;
"@ultramencemen8754,""MUI itu banyak org NU. Tau sndiri laah kyai NU. Bunga bank bukan riba, kerja di  bank konven halal, rokok halal, kyainya rata² ngerokok, santi putri salaman cium tangan kyainya. Maklum laah NU"",";Negatif;
