teks_asli,konversi_emoji,cleaning,case_folding,normalisasi,tokenisasi,stopword,stemming,teks_bersih,label
"rizaldyf9678,Mending emas digital ,","rizaldyf9678,Mending emas digital ,",rizaldyf Mending emas digital,rizaldyf mending emas digital,rizaldyf lebih baik emas digital,rizaldyf | lebih | baik | emas | digital,rizaldyf lebih baik emas digital,rizaldyf lebih baik emas digital,rizaldyf lebih baik emas digital,positif
"spread apaan dah,","spread apaan dah,",spread apaan dah,spread apaan dah,selisih harga apaan sudah,selisih | harga | apaan | sudah,selisih harga apaan sudah,selisih harga apa sudah,selisih harga apa sudah,negatif
"tolong dong rekomendasikan Platform emas digital yg berlisensi / legal yg mana?,","tolong dong rekomendasikan Platform emas digital yg berlisensi / legal yg mana?,",tolong dong rekomendasikan Platform emas digital yg berlisensi legal yg mana,tolong dong rekomendasikan platform emas digital yg berlisensi legal yg mana,tolong dong rekomendasikan platform emas digital yang berlisensi resmi resmi yang mana,tolong | dong | rekomendasikan | platform | emas | digital | yang | berlisensi | resmi | resmi | yang | mana,tolong dong rekomendasikan platform emas digital berlisensi resmi resmi mana,tolong dong rekomendasi platform emas digital lisensi resmi resmi mana,tolong dong rekomendasi platform emas digital lisensi resmi resmi mana,netral
"Kak kalau untuk pelajar mau mencoba nabung emas harian di Pegadaian kecil kecil an minimal nabung berapa kak,","Kak kalau untuk pelajar mau mencoba nabung emas harian di Pegadaian kecil kecil an minimal nabung berapa kak,",Kak kalau untuk pelajar mau mencoba nabung emas harian di Pegadaian kecil kecil an minimal nabung berapa kak,kak kalau untuk pelajar mau mencoba nabung emas harian di pegadaian kecil kecil an minimal nabung berapa kak,kakak kalau untuk pelajar mau mencoba menabung emas harian di pegadaian kecil kecil an minimal menabung berapa kakak,kakak | kalau | untuk | pelajar | mau | mencoba | menabung | emas | harian | di | pegadaian | kecil | kecil | an | minimal | menabung | berapa | kakak,kakak kalau pelajar mau mencoba menabung emas harian pegadaian kecil kecil minimal menabung berapa kakak,kakak kalau ajar mau coba tabung emas hari gadai kecil kecil minimal tabung berapa kakak,kakak kalau ajar mau coba tabung emas hari gadai kecil kecil minimal tabung berapa kakak,netral
"Makasih ko infonya....klu aku yang uang dikit pilih mas fisik ajadeh🙏🙏😂😂,","Makasih ko infonya....klu aku yang uang dikit pilih mas fisik ajadeh mohon terima kasih mohon terima kasih ,",Makasih ko infonya klu aku yang uang dikit pilih mas fisik ajadeh mohon terima kasih mohon terima kasih,makasih ko infonya klu aku yang uang dikit pilih mas fisik ajadeh mohon terima kasih mohon terima kasih,terima kasih kakak infonya kalau aku yang uang dikit pilih mas fisik ajadeh mohon terima memberi mohon terima memberi,terima | kasih | kakak | infonya | kalau | aku | yang | uang | dikit | pilih | mas | fisik | ajadeh | mohon | terima | memberi | mohon | terima | memberi,terima kasih kakak infonya kalau aku uang dikit pilih mas fisik ajadeh mohon terima memberi mohon terima memberi,terima kasih kakak info kalau aku uang dikit pilih mas fisik ajadeh mohon terima beri mohon terima beri,terima kasih kakak info kalau aku uang dikit pilih mas fisik ajadeh mohon terima beri mohon terima beri,netral
"Saya pilih emas digital...<br>Sudah mulai menabung emas digital sejak th 2016<br>Terimakasih infonya kak,","Saya pilih emas digital...<br>Sudah mulai menabung emas digital sejak th 2016<br>Terimakasih infonya kak,",Saya pilih emas digital Sudah mulai menabung emas digital sejak th 2016 Terimakasih infonya kak,saya pilih emas digital sudah mulai menabung emas digital sejak th 2016 terimakasih infonya kak,saya pilih emas digital sudah mulai menabung emas digital sejak th 2016 terimakasih infonya kakak,saya | pilih | emas | digital | sudah | mulai | menabung | emas | digital | sejak | th | 2016 | terimakasih | infonya | kakak,pilih emas digital sudah mulai menabung emas digital sejak 2016 terimakasih infonya kakak,pilih emas digital sudah mulai tabung emas digital sejak 2016 terimakasih info kakak,pilih emas digital sudah mulai tabung emas digital sejak 2016 terimakasih info kakak,positif
"""Kapan waktu yang tepat kita beli atau jual emas? <br>Contoh :saya punya emas 1 gr dengan harga beli di tahun 2015 seharga 600rb, eh tau tau tahun 2021 harga naik jadi 1 juta ,apakah saya harus jual di tahun 2021,atau nunggu makin naik lagi?"",","""Kapan waktu yang tepat kita beli atau jual emas? <br>Contoh :saya punya emas 1 gr dengan harga beli di tahun 2015 seharga 600rb, eh tau tau tahun 2021 harga naik jadi 1 juta ,apakah saya harus jual di tahun 2021,atau nunggu makin naik lagi?"",",Kapan waktu yang tepat kita beli atau jual emas Contoh saya punya emas 1 gr dengan harga beli di tahun 2015 seharga 600rb eh tau tau tahun 2021 harga naik jadi 1 juta apakah saya harus jual di tahun 2021 atau nunggu makin naik lagi,kapan waktu yang tepat kita beli atau jual emas contoh saya punya emas 1 gr dengan harga beli di tahun 2015 seharga 600rb eh tau tau tahun 2021 harga naik jadi 1 juta apakah saya harus jual di tahun 2021 atau nunggu makin naik lagi,kapan waktu yang tepat kita membeli atau menjual emas contoh saya punya emas 1 gram dengan harga membeli di tahun 2015 seharga 600rb eh tahu tahu tahun 2021 harga naik jadi 1 juta apakah saya harus menjual di tahun 2021 atau menunggu makin naik lagi,kapan | waktu | yang | tepat | kita | membeli | atau | menjual | emas | contoh | saya | punya | emas | 1 | gram | dengan | harga | membeli | di | tahun | 2015 | seharga | 600rb | eh | tahu | tahu | tahun | 2021 | harga | naik | jadi | 1 | juta | apakah | saya | harus | menjual | di | tahun | 2021 | atau | menunggu | makin | naik | lagi,kapan waktu tepat membeli menjual emas contoh punya emas gram harga membeli tahun 2015 seharga 600rb tahu tahu tahun 2021 harga naik jadi juta apakah harus menjual tahun 2021 menunggu makin naik lagi,kapan waktu tepat beli jual emas contoh punya emas gram harga beli tahun 2015 harga 600rb tahu tahu tahun 2021 harga naik jadi juta apakah harus jual tahun 2021 tunggu makin naik lagi,kapan waktu tepat beli jual emas contoh punya emas gram harga beli tahun 2015 harga 600rb tahu tahu tahun 2021 harga naik jadi juta apakah harus jual tahun 2021 tunggu makin naik lagi,netral
"permisi ko saya mau tanya nih tolong bantu jawab ya<br>apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak? <br>terimakasih,","permisi ko saya mau tanya nih tolong bantu jawab ya<br>apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak? <br>terimakasih,",permisi ko saya mau tanya nih tolong bantu jawab ya apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak terimakasih,permisi ko saya mau tanya nih tolong bantu jawab ya apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak terimakasih,permisi kakak saya mau bertanya nih tolong bantu menjawab ya apakah tabugang emas digital ini di backup sama lembaga penjamin simpanan atau tidak terimakasih,permisi | kakak | saya | mau | bertanya | nih | tolong | bantu | menjawab | ya | apakah | tabugang | emas | digital | ini | di | backup | sama | lembaga | penjamin | simpanan | atau | tidak | terimakasih,permisi kakak mau bertanya nih tolong bantu menjawab apakah tabugang emas digital backup sama lembaga penjamin simpanan tidak terimakasih,permisi kakak mau tanya nih tolong bantu jawab apakah tabugang emas digital backup sama lembaga jamin simpan tidak terimakasih,permisi kakak mau tanya nih tolong bantu jawab apakah tabugang emas digital backup sama lembaga jamin simpan tidak terimakasih,netral
"Trimakasih infonya,","Trimakasih infonya,",Trimakasih infonya,trimakasih infonya,trimakasih infonya,trimakasih | infonya,trimakasih infonya,trimakasih info,trimakasih info,netral
"Suka emas yg fisik,","Suka emas yg fisik,",Suka emas yg fisik,suka emas yg fisik,suka emas yang fisik,suka | emas | yang | fisik,suka emas fisik,suka emas fisik,suka emas fisik,positif
"""Krn gak punya brankas,pilih emas digital aja.."",","""Krn gak punya brankas,pilih emas digital aja.."",",Krn gak punya brankas pilih emas digital aja,krn gak punya brankas pilih emas digital aja,karena tidak punya brankas pilih emas digital aja,karena | tidak | punya | brankas | pilih | emas | digital | aja,karena tidak punya brankas pilih emas digital aja,karena tidak punya brankas pilih emas digital aja,karena tidak punya brankas pilih emas digital aja,netral
